x,y,MEAN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_RAIN_FLAG,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,LOCAL_MONTH,LOCAL_DAY,LOCAL_YEAR,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,DIRECTION_MAX_GUST,TOTAL_SNOW,LOCAL_DATE,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_RAIN,MIN_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS,STATION_NAME,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,ID,MAX_REL_HUMIDITY
-122.6775,53.884166666666665,,0,,1096439,0,0,10.2,10,22,2009,,,BC,,,,0,0,2009-10-22 00:00:00,,,0,,,2.8,6.5,11.5,PRINCE GEORGE,,,,,1096439.2009.10.22,
-122.6775,53.884166666666665,,6.2,,1096439,54,0,10.7,10,23,2009,,,BC,,,,18,0,2009-10-23 00:00:00,,,6.2,,,4.6,7.7,10.3,PRINCE GEORGE,,,,,1096439.2009.10.23,
-122.6775,53.884166666666665,,0,,1096439,0,0,9,10,24,2009,,,BC,,,,0,0,2009-10-24 00:00:00,,,0,,,0.1,4.6,13.4,PRINCE GEORGE,,,,,1096439.2009.10.24,
-122.6775,53.884166666666665,,17,,1096439,48,0,2.7,10,25,2009,,,BC,,,,18,17,2009-10-25 00:00:00,,,0,,,-3.7,-0.5,18.5,PRINCE GEORGE,,,,,1096439.2009.10.25,
-122.6775,53.884166666666665,,0.2,,1096439,52,0,6.8,10,26,2009,,,BC,,,2,19,0,2009-10-26 00:00:00,,,0.2,,,-1,2.9,15.1,PRINCE GEORGE,T,,,,1096439.2009.10.26,
-122.6775,53.884166666666665,,0,,1096439,0,0,5.5,10,27,2009,,,BC,,,,0,0,2009-10-27 00:00:00,,,0,,,-1.8,1.9,16.1,PRINCE GEORGE,,,,,1096439.2009.10.27,
-122.6775,53.884166666666665,,0,,1096439,0,0,3.9,10,28,2009,,,BC,,,,0,0,2009-10-28 00:00:00,,,0,,,-3.9,0,18,PRINCE GEORGE,,,,,1096439.2009.10.28,
-122.6775,53.884166666666665,,12,,1096439,52,0,2.4,10,29,2009,,,BC,,,1,19,12.1,2009-10-29 00:00:00,,,0.2,,,-1,0.7,17.3,PRINCE GEORGE,,,,,1096439.2009.10.29,
-122.6775,53.884166666666665,,30.4,,1096439,0,0,9.6,10,30,2009,,,BC,,,7,0,0,2009-10-30 00:00:00,,,30.4,,,0.3,5,13,PRINCE GEORGE,,,,,1096439.2009.10.30,
-122.6775,53.884166666666665,,2.2,,1096439,0,0,9.1,10,31,2009,,,BC,,,,0,0,2009-10-31 00:00:00,,,2.2,,,0.4,4.8,13.2,PRINCE GEORGE,,,,,1096439.2009.10.31,
