x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,STATION_NAME,MEAN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_SNOW_FLAG,LOCAL_YEAR,LOCAL_DATE,ID,MAX_TEMPERATURE_FLAG,LOCAL_DAY,SPEED_MAX_GUST,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_RAIN_FLAG,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE
-122.67888888888889,53.89083333333333,BC,1096450,,,22,,,PRINCE GEORGE A,-4.5,,,,1,,0,,1983,1983-01-26 00:00:00,1096450.1983.1.26,,26,0,,0.2,22.5,,,,0.2,0,T,1,0,-10
-122.67888888888889,53.89083333333333,BC,1096450,,,22,,,PRINCE GEORGE A,1.1,,,,1,,0,,1983,1983-01-27 00:00:00,1096450.1983.1.27,,27,0,,0,16.9,,,,6.6,6.6,,2.8,0,-0.7
-122.67888888888889,53.89083333333333,BC,1096450,,,19,,,PRINCE GEORGE A,-2.7,,,,1,,0,,1983,1983-01-28 00:00:00,1096450.1983.1.28,,28,0,,0,20.7,,,,0,0,,2.3,0,-7.6
-122.67888888888889,53.89083333333333,BC,1096450,,,19,,,PRINCE GEORGE A,-3.9,,,,1,,0,,1983,1983-01-29 00:00:00,1096450.1983.1.29,,29,0,,0,21.9,,,,0,0,,-1,0,-6.7
-122.67888888888889,53.89083333333333,BC,1096450,,,19,,,PRINCE GEORGE A,-3.7,,,,1,,0,,1983,1983-01-30 00:00:00,1096450.1983.1.30,,30,0,,0.8,21.7,,,,0.8,0,,-0.5,0,-6.8
-122.67888888888889,53.89083333333333,BC,1096450,,,20,,,PRINCE GEORGE A,-3.2,,,,1,,0,T,1983,1983-01-31 00:00:00,1096450.1983.1.31,,31,0,,0,21.2,,,T,0,0,,1.8,0,-8.2
-122.67888888888889,53.89083333333333,BC,1096450,,,20,,,PRINCE GEORGE A,-5.4,,,,2,,0,,1983,1983-02-01 00:00:00,1096450.1983.2.1,,1,0,,0,23.4,,,,0,0,,-4,0,-6.8
-122.67888888888889,53.89083333333333,BC,1096450,,,20,,,PRINCE GEORGE A,-4.3,,,,2,,0,,1983,1983-02-02 00:00:00,1096450.1983.2.2,,2,0,,0,22.3,,,,0,0,,-0.7,0,-7.8
-122.67888888888889,53.89083333333333,BC,1096450,,,20,,,PRINCE GEORGE A,-7.9,,,,2,,0,,1983,1983-02-03 00:00:00,1096450.1983.2.3,,3,0,,1.2,25.9,,,,1,0,,-4.4,0,-11.3
-122.67888888888889,53.89083333333333,BC,1096450,,,21,,,PRINCE GEORGE A,-7.2,,,,2,,0,T,1983,1983-02-04 00:00:00,1096450.1983.2.4,,4,0,,0,25.2,,,T,0,0,,-3.3,0,-11.1
-122.67888888888889,53.89083333333333,BC,1096450,,,21,,,PRINCE GEORGE A,-9.2,,,,2,,0,,1983,1983-02-05 00:00:00,1096450.1983.2.5,,5,0,,0,27.2,,,,0,0,,-4.4,0,-13.9
-122.67888888888889,53.89083333333333,BC,1096450,,,21,,,PRINCE GEORGE A,-12.8,,,,2,,0,,1983,1983-02-06 00:00:00,1096450.1983.2.6,,6,0,,0,30.8,,,,0,0,,-5.6,0,-20
-122.67888888888889,53.89083333333333,BC,1096450,,,21,,,PRINCE GEORGE A,-4.7,,,,2,,0,T,1983,1983-02-07 00:00:00,1096450.1983.2.7,,7,0,,0,22.7,,,T,0,0,,1.4,0,-10.8
-122.67888888888889,53.89083333333333,BC,1096450,,,21,,,PRINCE GEORGE A,-7,,,,2,,0,,1983,1983-02-08 00:00:00,1096450.1983.2.8,,8,0,,0,25,,,,0,0,,-2.3,0,-11.7
-122.67888888888889,53.89083333333333,BC,1096450,,,21,,,PRINCE GEORGE A,-3.3,,,,2,,0,,1983,1983-02-09 00:00:00,1096450.1983.2.9,,9,0,,0.4,21.3,,,,0.4,0,,-0.6,0,-5.9
-122.67888888888889,53.89083333333333,BC,1096450,,,21,,,PRINCE GEORGE A,-1,,,,2,,0,,1983,1983-02-10 00:00:00,1096450.1983.2.10,,10,0,,5.7,19,,,,3.1,0,,1.4,0,-3.3
-122.67888888888889,53.89083333333333,BC,1096450,,,27,,,PRINCE GEORGE A,3.3,,,,2,,18,,1983,1983-02-11 00:00:00,1096450.1983.2.11,,11,63,,1,14.7,,,,6.6,5.6,,8.3,0,-1.7
-122.67888888888889,53.89083333333333,BC,1096450,,,17,,,PRINCE GEORGE A,4.2,,,,2,,18,,1983,1983-02-12 00:00:00,1096450.1983.2.12,,12,43,,0,13.8,,,T,0,0,T,6.7,0,1.6
-122.67888888888889,53.89083333333333,BC,1096450,,,13,,,PRINCE GEORGE A,3.6,,,,2,,18,,1983,1983-02-13 00:00:00,1096450.1983.2.13,,13,43,,0,14.4,,,,1,1,,6,0,1.1
-122.67888888888889,53.89083333333333,BC,1096450,,,9,,,PRINCE GEORGE A,1.5,,,,2,,17,T,1983,1983-02-14 00:00:00,1096450.1983.2.14,,14,43,,0,16.5,,,T,0,0,,4.6,0,-1.7
-122.67888888888889,53.89083333333333,BC,1096450,,,8,,,PRINCE GEORGE A,1.6,,,,2,,19,,1983,1983-02-15 00:00:00,1096450.1983.2.15,,15,37,,0,16.4,,,,0,0,,6.4,0,-3.2
-122.67888888888889,53.89083333333333,BC,1096450,,,7,,,PRINCE GEORGE A,-2.1,,,,2,,0,,1983,1983-02-16 00:00:00,1096450.1983.2.16,,16,0,,1,20.1,,,,0.7,0,,1.4,0,-5.5
-122.67888888888889,53.89083333333333,BC,1096450,,,8,,,PRINCE GEORGE A,-0.1,,,,2,,0,T,1983,1983-02-17 00:00:00,1096450.1983.2.17,,17,0,,0,18.1,,,,3.8,3.8,,3,0,-3.2
-122.67888888888889,53.89083333333333,BC,1096450,,,6,,,PRINCE GEORGE A,0.1,,,,2,,0,,1983,1983-02-18 00:00:00,1096450.1983.2.18,,18,0,,4.3,17.9,,,,5.4,0.7,,1,0,-0.9
-122.67888888888889,53.89083333333333,BC,1096450,,,7,,,PRINCE GEORGE A,1,,,,2,,16,T,1983,1983-02-19 00:00:00,1096450.1983.2.19,,19,52,,0,17,,,T,0,0,,4,0,-2
