x,y,ID,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,LOCAL_DAY,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,LOCAL_MONTH,SNOW_ON_GROUND,MIN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,STATION_NAME,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,TOTAL_SNOW_FLAG,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,LOCAL_DATE,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG
-117.70147222222222,51.238194444444446,117CA90.1996.5.19,0,,5.5,,,3,19,1996,,16,5,338,-1,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,2.5,,1996-05-19 00:00:00,2,,5,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.20,0,,2,,,1,20,1996,,17.2,5,337,-1.5,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,1,,1996-05-20 00:00:00,0.8,,3,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.21,0,,0,,,0,21,1996,,15.5,5,335,-3,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,0,,1996-05-21 00:00:00,2.5,,8,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.22,0,,1.4,,,0,22,1996,,14.5,5,331,0,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,1.4,,1996-05-22 00:00:00,3.5,,7,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.23,0,,0.8,,,0,23,1996,,13.7,5,327,-0.5,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,0.8,,1996-05-23 00:00:00,4.3,,9,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.24,0,,0,,,0,24,1996,,11.5,5,323,2,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,0,,1996-05-24 00:00:00,6.5,,11,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.25,0,,0,,,0,25,1996,,10.2,5,319,4,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,0,,1996-05-25 00:00:00,7.8,,11.5,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.26,0,,0,,,0,26,1996,,11.7,5,315,3,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,0,,1996-05-26 00:00:00,6.3,,9.5,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.27,0,,0,,,0,27,1996,,11,5,311,2,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,0,,1996-05-27 00:00:00,7,,12,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.28,0,,1,,,0,28,1996,,13.7,5,308,0,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,1,,1996-05-28 00:00:00,4.3,,8.5,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.29,0,,13,,,0,29,1996,,15.5,5,305,0.5,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,13,,1996-05-29 00:00:00,2.5,,4.5,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.30,0,,13,,,0,30,1996,,18.5,5,303,-2.5,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,13,,1996-05-30 00:00:00,-0.5,,1.5,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.5.31,0,,2.5,,,0,31,1996,,17.7,5,301,-2,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,2.5,,1996-05-31 00:00:00,0.3,,2.5,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.6.1,0,,0.5,,,0,1,1996,,13.2,6,299,-0.5,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,0.5,,1996-06-01 00:00:00,4.8,,10,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.6.2,0,,1,,,0,2,1996,,12.5,6,296,1.5,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,1,,1996-06-02 00:00:00,5.5,,9.5,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.6.3,0,,4,,,0,3,1996,,9.5,6,293,4.5,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,4,,1996-06-03 00:00:00,8.5,,12.5,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.6.4,0,,20.5,,,0,4,1996,,14,6,287,3.5,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,20.5,,1996-06-04 00:00:00,4,,4.5,,,,,
-117.70147222222222,51.238194444444446,117CA90.1996.6.5,0,,1,,,0,5,1996,,13.7,6,281,0.5,,BC,117CA90,,GLACIER NP MT FIDELITY,,,,,1,,1996-06-05 00:00:00,4.3,,8,,,,,
