x,y,SNOW_ON_GROUND,TOTAL_RAIN,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,ID,COOLING_DEGREE_DAYS,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,MIN_TEMPERATURE,STATION_NAME,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,LOCAL_DATE,LOCAL_DAY,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,DIRECTION_MAX_GUST,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,MIN_REL_HUMIDITY_FLAG,PROVINCE_CODE,SPEED_MAX_GUST,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG
-120.18194444444444,55.74166666666667,0,0,,2.4,1182285.1995.7.18,0,7,,1995,7.1,DAWSON CREEK A,1182285,,1995-07-18 00:00:00,18,,15.6,,24.1,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,1.6,,1.2,1182285.1995.7.19,0,7,,1995,6.7,DAWSON CREEK A,1182285,,1995-07-19 00:00:00,19,,16.8,,26.9,,,,,,BC,,,,,,1.6,0,,
-120.18194444444444,55.74166666666667,0,3.1,,1.7,1182285.1995.7.20,0,7,,1995,13.6,DAWSON CREEK A,1182285,,1995-07-20 00:00:00,20,,16.3,,19,,,,,,BC,,,,,,3.1,0,,
-120.18194444444444,55.74166666666667,0,0,,3.3,1182285.1995.7.21,0,7,,1995,6.8,DAWSON CREEK A,1182285,,1995-07-21 00:00:00,21,,14.7,,22.5,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,3.8,,0,1182285.1995.7.22,1.8,7,,1995,13.1,DAWSON CREEK A,1182285,,1995-07-22 00:00:00,22,,19.8,,26.4,,,,,,BC,,,,,,3.8,0,,
-120.18194444444444,55.74166666666667,0,10.6,,3.4,1182285.1995.7.23,0,7,,1995,10.8,DAWSON CREEK A,1182285,,1995-07-23 00:00:00,23,,14.6,,18.4,,,,,,BC,,,,,,10.6,0,,
-120.18194444444444,55.74166666666667,0,2.2,,3.3,1182285.1995.7.24,0,7,,1995,10.5,DAWSON CREEK A,1182285,,1995-07-24 00:00:00,24,,14.7,,18.9,,,,,,BC,,,,,,2.2,0,,
-120.18194444444444,55.74166666666667,0,0,,1.2,1182285.1995.7.25,0,7,,1995,12.1,DAWSON CREEK A,1182285,,1995-07-25 00:00:00,25,,16.8,,21.5,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,0.5,1182285.1995.7.26,0,7,,1995,12.8,DAWSON CREEK A,1182285,,1995-07-26 00:00:00,26,,17.5,,22.1,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,3.4,1182285.1995.7.27,0,7,T,1995,10.2,DAWSON CREEK A,1182285,,1995-07-27 00:00:00,27,,14.6,,18.9,,,,T,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,2.4,,8.1,1182285.1995.7.28,0,7,,1995,0.8,DAWSON CREEK A,1182285,,1995-07-28 00:00:00,28,,9.9,,18.9,,,,,,BC,,,,,,2.4,0,,
-120.18194444444444,55.74166666666667,0,2.2,,4.2,1182285.1995.7.29,0,7,,1995,9.5,DAWSON CREEK A,1182285,,1995-07-29 00:00:00,29,,13.8,,18.1,,,,,,BC,,,,,,2.2,0,,
-120.18194444444444,55.74166666666667,0,0.2,,5.7,1182285.1995.7.30,0,7,,1995,3.9,DAWSON CREEK A,1182285,,1995-07-30 00:00:00,30,,12.3,,20.6,,,,,,BC,,,,,,0.2,0,,
-120.18194444444444,55.74166666666667,0,1.4,,3.2,1182285.1995.7.31,0,7,,1995,9.3,DAWSON CREEK A,1182285,,1995-07-31 00:00:00,31,,14.8,,20.3,,,,,,BC,,,,,,1.4,0,,
-120.18194444444444,55.74166666666667,0,0.4,,5.1,1182285.1995.8.1,0,8,,1995,6.9,DAWSON CREEK A,1182285,,1995-08-01 00:00:00,1,,12.9,,18.8,,,,,,BC,,,,,,0.4,0,,
-120.18194444444444,55.74166666666667,0,0,,6.3,1182285.1995.8.2,0,8,,1995,2.7,DAWSON CREEK A,1182285,,1995-08-02 00:00:00,2,,11.7,,20.6,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,3,1182285.1995.8.3,0,8,,1995,7.5,DAWSON CREEK A,1182285,,1995-08-03 00:00:00,3,,15,,22.5,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,0,1182285.1995.8.4,1.7,8,T,1995,16.9,DAWSON CREEK A,1182285,,1995-08-04 00:00:00,4,,19.7,,22.4,,,,T,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,2.3,1182285.1995.8.5,0,8,,1995,11.3,DAWSON CREEK A,1182285,,1995-08-05 00:00:00,5,,15.7,,20,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,2.2,,8.4,1182285.1995.8.6,0,8,,1995,2.7,DAWSON CREEK A,1182285,,1995-08-06 00:00:00,6,,9.6,,16.4,,,,,,BC,,,,,,2.2,0,,
-120.18194444444444,55.74166666666667,0,0.5,,8.2,1182285.1995.8.7,0,8,,1995,1.7,DAWSON CREEK A,1182285,,1995-08-07 00:00:00,7,,9.8,,17.8,,,,,,BC,,,,,,0.5,0,,
-120.18194444444444,55.74166666666667,0,0,,4.2,1182285.1995.8.8,0,8,,1995,7.9,DAWSON CREEK A,1182285,,1995-08-08 00:00:00,8,,13.8,,19.7,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,6.6,1182285.1995.8.9,0,8,,1995,2.4,DAWSON CREEK A,1182285,,1995-08-09 00:00:00,9,,11.4,,20.4,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,7.9,1182285.1995.8.10,0,8,,1995,0.6,DAWSON CREEK A,1182285,,1995-08-10 00:00:00,10,,10.1,,19.6,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,9.1,1182285.1995.8.11,0,8,,1995,-0.4,DAWSON CREEK A,1182285,,1995-08-11 00:00:00,11,,8.9,,18.1,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0.2,,3,1182285.1995.8.12,0,8,,1995,8.4,DAWSON CREEK A,1182285,,1995-08-12 00:00:00,12,,15,,21.5,,,,,,BC,,,,,,0.2,0,,
-120.18194444444444,55.74166666666667,0,0,,5.9,1182285.1995.8.13,0,8,,1995,2.7,DAWSON CREEK A,1182285,,1995-08-13 00:00:00,13,,12.1,,21.4,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,7,,2.7,1182285.1995.8.14,0,8,,1995,10.7,DAWSON CREEK A,1182285,,1995-08-14 00:00:00,14,,15.3,,19.9,,,,,,BC,,,,,,7,0,,
-120.18194444444444,55.74166666666667,0,1.4,,7.1,1182285.1995.8.15,0,8,,1995,7.9,DAWSON CREEK A,1182285,,1995-08-15 00:00:00,15,,10.9,,13.9,,,,,,BC,,,,,,1.4,0,,
-120.18194444444444,55.74166666666667,0,0,,6.6,1182285.1995.8.16,0,8,T,1995,8.2,DAWSON CREEK A,1182285,,1995-08-16 00:00:00,16,,11.4,,14.5,,,,T,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,6.5,1182285.1995.8.17,0,8,,1995,8.4,DAWSON CREEK A,1182285,,1995-08-17 00:00:00,17,,11.5,,14.6,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,6.8,1182285.1995.8.18,0,8,T,1995,5.1,DAWSON CREEK A,1182285,,1995-08-18 00:00:00,18,,11.2,,17.3,,,,T,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,7.9,1182285.1995.8.19,0,8,,1995,3.1,DAWSON CREEK A,1182285,,1995-08-19 00:00:00,19,,10.1,,17,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,8,1182285.1995.8.20,0,8,,1995,0.7,DAWSON CREEK A,1182285,,1995-08-20 00:00:00,20,,10,,19.3,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,6.2,1182285.1995.8.21,0,8,,1995,8.6,DAWSON CREEK A,1182285,,1995-08-21 00:00:00,21,,11.8,,14.9,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,1,,6.8,1182285.1995.8.22,0,8,,1995,8.5,DAWSON CREEK A,1182285,,1995-08-22 00:00:00,22,,11.2,,13.8,,,,,,BC,,,,,,1,0,,
-120.18194444444444,55.74166666666667,0,0.4,,6.3,1182285.1995.8.23,0,8,,1995,5.7,DAWSON CREEK A,1182285,,1995-08-23 00:00:00,23,,11.7,,17.6,,,,,,BC,,,,,,0.4,0,,
-120.18194444444444,55.74166666666667,0,2.2,,9.1,1182285.1995.8.24,0,8,,1995,1.7,DAWSON CREEK A,1182285,,1995-08-24 00:00:00,24,,8.9,,16.1,,,,,,BC,,,,,,2.2,0,,
-120.18194444444444,55.74166666666667,0,0.4,,8.4,1182285.1995.8.25,0,8,,1995,0.8,DAWSON CREEK A,1182285,,1995-08-25 00:00:00,25,,9.6,,18.4,,,,,,BC,,,,,,0.4,0,,
-120.18194444444444,55.74166666666667,0,0.4,,8.5,1182285.1995.8.26,0,8,,1995,-0.5,DAWSON CREEK A,1182285,,1995-08-26 00:00:00,26,,9.5,,19.4,,,,,,BC,,,,,,0.4,0,,
-120.18194444444444,55.74166666666667,0,0,,6,1182285.1995.8.27,0,8,,1995,5.5,DAWSON CREEK A,1182285,,1995-08-27 00:00:00,27,,12,,18.4,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,8.3,1182285.1995.8.28,0,8,,1995,-0.7,DAWSON CREEK A,1182285,,1995-08-28 00:00:00,28,,9.7,,20,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,8.3,1182285.1995.8.29,0,8,,1995,2.2,DAWSON CREEK A,1182285,,1995-08-29 00:00:00,29,,9.7,,17.2,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,7,1182285.1995.8.30,0,8,,1995,1,DAWSON CREEK A,1182285,,1995-08-30 00:00:00,30,,11,,20.9,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,6.6,1182285.1995.8.31,0,8,,1995,2.2,DAWSON CREEK A,1182285,,1995-08-31 00:00:00,31,,11.4,,20.5,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,5.8,1182285.1995.9.1,0,9,,1995,1.3,DAWSON CREEK A,1182285,,1995-09-01 00:00:00,1,,12.2,,23,,,,,,BC,,,,,,0,0,,
-120.18194444444444,55.74166666666667,0,0,,0,1182285.1995.9.2,0.3,9,,1995,11.9,DAWSON CREEK A,1182285,,1995-09-02 00:00:00,2,,18.3,,24.6,,,,,,BC,,,,,,0,0,,
