x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,STATION_NAME,MEAN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_SNOW_FLAG,LOCAL_YEAR,LOCAL_DATE,ID,MAX_TEMPERATURE_FLAG,LOCAL_DAY,SPEED_MAX_GUST,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_RAIN_FLAG,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE
-113.53333333333333,53.516666666666666,AB,301FFNJ,,,0,,,UNIVERSITY OF ALBERTA METABOLIC CENTRE,4,,,,10,,,M,1986,1986-10-01 00:00:00,301FFNJ.1986.10.1,,1,,,,14,,,M,,,M,5,0,3
-113.53333333333333,53.516666666666666,AB,301FFNJ,,,0,,,UNIVERSITY OF ALBERTA METABOLIC CENTRE,0.3,,,,10,,,M,1986,1986-10-02 00:00:00,301FFNJ.1986.10.2,,2,,,,17.7,,,M,,,M,5,0,-4.5
-113.53333333333333,53.516666666666666,AB,301FFNJ,,,0,,,UNIVERSITY OF ALBERTA METABOLIC CENTRE,5.5,,,,10,,,M,1986,1986-10-03 00:00:00,301FFNJ.1986.10.3,,3,,,,12.5,,,M,,,M,15,0,-4
-113.53333333333333,53.516666666666666,AB,301FFNJ,,,0,,,UNIVERSITY OF ALBERTA METABOLIC CENTRE,7,,,,10,,,M,1986,1986-10-04 00:00:00,301FFNJ.1986.10.4,,4,,,,11,,,M,,,M,11,0,3
-113.53333333333333,53.516666666666666,AB,301FFNJ,,,0,,,UNIVERSITY OF ALBERTA METABOLIC CENTRE,13,,,,10,,,M,1986,1986-10-05 00:00:00,301FFNJ.1986.10.5,,5,,,,5,,,M,,,M,21,0,5
-113.53333333333333,53.516666666666666,AB,301FFNJ,,,0,,,UNIVERSITY OF ALBERTA METABOLIC CENTRE,14.5,,,,10,,,M,1986,1986-10-06 00:00:00,301FFNJ.1986.10.6,,6,,,,3.5,,,M,,,M,21,0,8
-113.53333333333333,53.516666666666666,AB,301FFNJ,,,0,,,UNIVERSITY OF ALBERTA METABOLIC CENTRE,6.3,,,,10,,,M,1986,1986-10-07 00:00:00,301FFNJ.1986.10.7,,7,,,,11.7,,,M,,,M,7.5,0,5
-113.53333333333333,53.516666666666666,AB,301FFNJ,,,0,,,UNIVERSITY OF ALBERTA METABOLIC CENTRE,6.3,,,,10,,,M,1986,1986-10-08 00:00:00,301FFNJ.1986.10.8,,8,,,,11.7,,,M,,,M,9.5,0,3
-113.53333333333333,53.516666666666666,AB,301FFNJ,,,0,,,UNIVERSITY OF ALBERTA METABOLIC CENTRE,7.8,,,,10,,,M,1986,1986-10-09 00:00:00,301FFNJ.1986.10.9,,9,,,,10.2,,,M,,,M,12,0,3.5
-113.53333333333333,53.516666666666666,AB,301FFNJ,,,0,,,UNIVERSITY OF ALBERTA METABOLIC CENTRE,6,,,,10,,,M,1986,1986-10-10 00:00:00,301FFNJ.1986.10.10,,10,,,,12,,,M,,,M,7,0,5
