x,y,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST,LOCAL_DAY,TOTAL_PRECIPITATION_FLAG,STATION_NAME,LOCAL_YEAR,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MAX_TEMPERATURE,MIN_TEMPERATURE_FLAG,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,LOCAL_MONTH,SPEED_MAX_GUST,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN,MAX_TEMPERATURE_FLAG,LOCAL_DATE,TOTAL_SNOW,ID,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,HEATING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE,COOLING_DEGREE_DAYS_FLAG
-117.86666666666666,53.35,3060903,,,1,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-01 00:00:00,0,3060903.1985.7.1,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,2,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-02 00:00:00,0,3060903.1985.7.2,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,3,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-03 00:00:00,0,3060903.1985.7.3,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,4,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-04 00:00:00,0,3060903.1985.7.4,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,5,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-05 00:00:00,0,3060903.1985.7.5,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,6,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-06 00:00:00,0,3060903.1985.7.6,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,7,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-07 00:00:00,0,3060903.1985.7.7,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,8,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-08 00:00:00,0,3060903.1985.7.8,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,9,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-09 00:00:00,0,3060903.1985.7.9,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,10,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-10 00:00:00,0,3060903.1985.7.10,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,11,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-11 00:00:00,0,3060903.1985.7.11,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,12,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-12 00:00:00,0,3060903.1985.7.12,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,13,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-13 00:00:00,0,3060903.1985.7.13,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,14,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-14 00:00:00,0,3060903.1985.7.14,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,15,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-15 00:00:00,0,3060903.1985.7.15,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,16,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-16 00:00:00,0,3060903.1985.7.16,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,17,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-17 00:00:00,0,3060903.1985.7.17,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,18,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-18 00:00:00,0,3060903.1985.7.18,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,19,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-19 00:00:00,0,3060903.1985.7.19,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,20,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-20 00:00:00,0,3060903.1985.7.20,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,21,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-21 00:00:00,0,3060903.1985.7.21,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,22,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-22 00:00:00,0,3060903.1985.7.22,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,23,M,BRULE BLACK CAT,1985,,,,,,,,,,,,M,7,,,,,1985-07-23 00:00:00,0,3060903.1985.7.23,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,24,,BRULE BLACK CAT,1985,,,,,,0,,,,,,,7,,,0,,1985-07-24 00:00:00,0,3060903.1985.7.24,,,AB,,M,,
-117.86666666666666,53.35,3060903,,,25,,BRULE BLACK CAT,1985,,,,,,0.7,,,,0,,,7,,,0.7,,1985-07-25 00:00:00,0,3060903.1985.7.25,,,AB,,,,
-117.86666666666666,53.35,3060903,,,26,,BRULE BLACK CAT,1985,,,,,,0,,,,0,,,7,,,0,,1985-07-26 00:00:00,0,3060903.1985.7.26,,,AB,,,,
-117.86666666666666,53.35,3060903,,,27,,BRULE BLACK CAT,1985,,,,,,0,,,,0,,,7,,,0,,1985-07-27 00:00:00,0,3060903.1985.7.27,,,AB,,,,
-117.86666666666666,53.35,3060903,,,28,T,BRULE BLACK CAT,1985,,,,,,0,,,,0,,T,7,,,0,,1985-07-28 00:00:00,0,3060903.1985.7.28,,,AB,,,,
-117.86666666666666,53.35,3060903,,,29,T,BRULE BLACK CAT,1985,,,,,,0,,,,0,,T,7,,,0,,1985-07-29 00:00:00,0,3060903.1985.7.29,,,AB,,,,
-117.86666666666666,53.35,3060903,,,30,T,BRULE BLACK CAT,1985,,,,,,0,,,,0,,T,7,,,0,,1985-07-30 00:00:00,0,3060903.1985.7.30,,,AB,,,,
-117.86666666666666,53.35,3060903,,,31,,BRULE BLACK CAT,1985,,,,,,0,,,,0,,,7,,,0,,1985-07-31 00:00:00,0,3060903.1985.7.31,,,AB,,,,
