x,y,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,LOCAL_YEAR,MIN_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY_FLAG,LOCAL_DAY,STATION_NAME,DIRECTION_MAX_GUST,MIN_TEMPERATURE,SPEED_MAX_GUST_FLAG,ID,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,TOTAL_SNOW,TOTAL_PRECIPITATION,SNOW_ON_GROUND,PROVINCE_CODE,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,TOTAL_RAIN
-117.86666666666666,53.35,,7,11,,,0,,,5,2013,,19.5,,,3060903,,7,BRULE BLACK CAT,,2.5,,3060903.2013.5.7,,,2013-05-07 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,7.7,10.3,,,0,,,5,2013,,23,,,3060903,,8,BRULE BLACK CAT,,-2.5,,3060903.2013.5.8,,,2013-05-08 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,6.2,11.8,,,0,,,5,2013,,25,,,3060903,,9,BRULE BLACK CAT,,-1.5,,3060903.2013.5.9,,,2013-05-09 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,7.5,10.5,,,0,,,5,2013,,19.5,,,3060903,,10,BRULE BLACK CAT,,1.5,,3060903.2013.5.10,,,2013-05-10 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,4,14,,,0,,,5,2013,,26.5,,,3060903,,11,BRULE BLACK CAT,,1.5,,3060903.2013.5.11,,,2013-05-11 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,4.7,13.3,,,0,,,5,2013,,22,,,3060903,,12,BRULE BLACK CAT,,4.5,,3060903.2013.5.12,,,2013-05-12 00:00:00,0,3.4,0,AB,,,,,3.4
-117.86666666666666,53.35,,7,11,,,0,,,5,2013,,17.5,,,3060903,,13,BRULE BLACK CAT,,4.5,,3060903.2013.5.13,,,2013-05-13 00:00:00,0,0.8,0,AB,,,,,0.8
-117.86666666666666,53.35,,8.5,9.5,,,0,,,5,2013,,15.5,,,3060903,,14,BRULE BLACK CAT,,3.5,,3060903.2013.5.14,,,2013-05-14 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,10.2,7.8,,,0,,,5,2013,,15.5,,,3060903,,15,BRULE BLACK CAT,,0,,3060903.2013.5.15,,,2013-05-15 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,9.7,8.3,,,0,,,5,2013,,17.5,,,3060903,,16,BRULE BLACK CAT,,-1,,3060903.2013.5.16,,,2013-05-16 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,9,9,,,0,,,5,2013,,20,,,3060903,,17,BRULE BLACK CAT,,-2,,3060903.2013.5.17,,,2013-05-17 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,8.2,9.8,,,0,,,5,2013,,21.5,,,3060903,,18,BRULE BLACK CAT,,-2,,3060903.2013.5.18,,,2013-05-18 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,7,11,,,0,,,5,2013,,19.5,,,3060903,,19,BRULE BLACK CAT,,2.5,,3060903.2013.5.19,,,2013-05-19 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,7.7,10.3,,,0,,,5,2013,,20,,,3060903,,20,BRULE BLACK CAT,,0.5,,3060903.2013.5.20,,,2013-05-20 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,4.2,13.8,,,0,,,5,2013,,20.5,,,3060903,,21,BRULE BLACK CAT,,7,,3060903.2013.5.21,,,2013-05-21 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,6.2,11.8,,,0,,,5,2013,,18,,,3060903,,22,BRULE BLACK CAT,,5.5,,3060903.2013.5.22,,,2013-05-22 00:00:00,0,0,0,AB,,,,,0
-117.86666666666666,53.35,,8.5,9.5,,,0,,,5,2013,,17.5,,,3060903,,23,BRULE BLACK CAT,,1.5,,3060903.2013.5.23,,,2013-05-23 00:00:00,0,13.6,0,AB,,,,,13.6
-117.86666666666666,53.35,,10,8,,,0,,,5,2013,,9,,,3060903,,24,BRULE BLACK CAT,,7,,3060903.2013.5.24,,,2013-05-24 00:00:00,0,40,0,AB,,,,,40
-117.86666666666666,53.35,,10.2,7.8,,,0,,,5,2013,,12.5,,,3060903,,25,BRULE BLACK CAT,,3,,3060903.2013.5.25,,,2013-05-25 00:00:00,0,6,0,AB,,,,,6
-117.86666666666666,53.35,,,,M,M,,,,5,2013,,,M,,3060903,,26,BRULE BLACK CAT,,3.5,,3060903.2013.5.26,,,2013-05-26 00:00:00,,,0,AB,,M,,,
-117.86666666666666,53.35,,,,M,M,,,,5,2013,,,M,,3060903,,29,BRULE BLACK CAT,,,,3060903.2013.5.29,,,2013-05-29 00:00:00,0,7,,AB,M,M,,,7
-117.86666666666666,53.35,,,,M,M,,,,5,2013,,15,,,3060903,,30,BRULE BLACK CAT,,,,3060903.2013.5.30,,,2013-05-30 00:00:00,0,14,0,AB,M,M,,,14
-117.86666666666666,53.35,,7.7,10.3,,,0,,,5,2013,,13,,,3060903,,31,BRULE BLACK CAT,,7.5,,3060903.2013.5.31,,,2013-05-31 00:00:00,0,2.4,0,AB,,,,,2.4
-117.86666666666666,53.35,,8.2,9.8,,,0,,,6,2013,,16.5,,,3060903,,1,BRULE BLACK CAT,,3,,3060903.2013.6.1,,,2013-06-01 00:00:00,0,3.8,0,AB,,,,,3.8
-117.86666666666666,53.35,,8.7,9.3,,,0,,,6,2013,,14.5,,,3060903,,2,BRULE BLACK CAT,,4,,3060903.2013.6.2,,,2013-06-02 00:00:00,0,2.4,0,AB,,,,,2.4
-117.86666666666666,53.35,,,,M,M,,,,6,2013,,,M,,3060903,,3,BRULE BLACK CAT,,7.5,,3060903.2013.6.3,,,2013-06-03 00:00:00,0,9.6,0,AB,,M,,,9.6
