x,y,MEAN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_RAIN_FLAG,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,LOCAL_MONTH,LOCAL_DAY,LOCAL_YEAR,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,DIRECTION_MAX_GUST,TOTAL_SNOW,LOCAL_DATE,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_RAIN,MIN_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS,STATION_NAME,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,ID,MAX_REL_HUMIDITY
-120.8,50.935,,,M,1166658,,,,5,1,1974,,,BC,,,,,,1974-05-01 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.1,
-120.8,50.935,,,M,1166658,,,,5,2,1974,,,BC,,,,,,1974-05-02 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.2,
-120.8,50.935,,,M,1166658,,,,5,3,1974,,,BC,,,,,,1974-05-03 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.3,
-120.8,50.935,,,M,1166658,,,,5,4,1974,,,BC,,,,,,1974-05-04 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.4,
-120.8,50.935,,,M,1166658,,,,5,5,1974,,,BC,,,,,,1974-05-05 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.5,
-120.8,50.935,,,M,1166658,,,,5,6,1974,,,BC,,,,,,1974-05-06 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.6,
-120.8,50.935,,,M,1166658,,,,5,7,1974,,,BC,,,,,,1974-05-07 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.7,
-120.8,50.935,,,M,1166658,,,,5,8,1974,,,BC,,,,,,1974-05-08 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.8,
-120.8,50.935,,,M,1166658,,,,5,9,1974,,,BC,,,,,,1974-05-09 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.9,
-120.8,50.935,,,M,1166658,,,,5,10,1974,,,BC,,,,,,1974-05-10 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.10,
-120.8,50.935,,,M,1166658,,,,5,11,1974,,,BC,,,,,,1974-05-11 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.11,
-120.8,50.935,,,M,1166658,,,,5,12,1974,,,BC,,,,,,1974-05-12 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.12,
-120.8,50.935,,,M,1166658,,,,5,13,1974,,,BC,,,,,,1974-05-13 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.13,
-120.8,50.935,,,M,1166658,,,,5,14,1974,,,BC,,,,,,1974-05-14 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.14,
-120.8,50.935,,,M,1166658,,,,5,15,1974,,,BC,,,,,,1974-05-15 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.15,
-120.8,50.935,,,M,1166658,,,,5,16,1974,,,BC,,,,,,1974-05-16 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.16,
-120.8,50.935,,,M,1166658,,,,5,17,1974,,,BC,,,,,,1974-05-17 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.17,
-120.8,50.935,,,M,1166658,,,,5,18,1974,,,BC,,,,,,1974-05-18 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.18,
-120.8,50.935,,,M,1166658,,,,5,19,1974,,,BC,,,,,,1974-05-19 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.19,
-120.8,50.935,,,M,1166658,,,,5,20,1974,,,BC,,,,,,1974-05-20 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.20,
-120.8,50.935,,,M,1166658,,,,5,21,1974,,,BC,,,,,,1974-05-21 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.21,
-120.8,50.935,,,M,1166658,,,,5,22,1974,,,BC,,,,,,1974-05-22 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.22,
-120.8,50.935,,,M,1166658,,,,5,23,1974,,,BC,,,,,,1974-05-23 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.23,
-120.8,50.935,,,M,1166658,,,,5,24,1974,,,BC,,,,,,1974-05-24 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.24,
-120.8,50.935,,,M,1166658,,,,5,25,1974,,,BC,,,,,,1974-05-25 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.25,
-120.8,50.935,,,M,1166658,,,,5,26,1974,,,BC,,,,,,1974-05-26 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.26,
-120.8,50.935,,,M,1166658,,,,5,27,1974,,,BC,,,,,,1974-05-27 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.27,
-120.8,50.935,,,M,1166658,,,,5,28,1974,,,BC,,,,,,1974-05-28 00:00:00,,,,,,,,,RED LAKE,M,,,M,1166658.1974.5.28,
-120.8,50.935,,5.8,,1166658,,,,5,29,1974,,,BC,,,,,0,1974-05-29 00:00:00,,,5.8,,,,,,RED LAKE,,,,,1166658.1974.5.29,
-120.8,50.935,,5.6,,1166658,,,,5,30,1974,,,BC,,,,,0,1974-05-30 00:00:00,,,5.6,,,,,,RED LAKE,,,,,1166658.1974.5.30,
-120.8,50.935,,2.3,,1166658,,,,5,31,1974,,,BC,,,,,0,1974-05-31 00:00:00,,,2.3,,,,,,RED LAKE,,,,,1166658.1974.5.31,
-120.8,50.935,,0,,1166658,,,,6,1,1974,,,BC,,,,,0,1974-06-01 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.1,
-120.8,50.935,,0,,1166658,,,,6,2,1974,,,BC,,,,,0,1974-06-02 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.2,
-120.8,50.935,,0,,1166658,,,,6,3,1974,,,BC,,,,,0,1974-06-03 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.3,
-120.8,50.935,,0.5,,1166658,,,,6,4,1974,,,BC,,,,,0,1974-06-04 00:00:00,,,0.5,,,,,,RED LAKE,,,,,1166658.1974.6.4,
-120.8,50.935,,8.9,,1166658,,,,6,5,1974,,,BC,,,,,0,1974-06-05 00:00:00,,,8.9,,,,,,RED LAKE,,,,,1166658.1974.6.5,
-120.8,50.935,,0,,1166658,,,,6,6,1974,,,BC,,,,,0,1974-06-06 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.6,
-120.8,50.935,,0,,1166658,,,,6,7,1974,,,BC,,,,,0,1974-06-07 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.7,
-120.8,50.935,,0,,1166658,,,,6,8,1974,,,BC,,,,,0,1974-06-08 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.8,
-120.8,50.935,,0,,1166658,,,,6,9,1974,,,BC,,,,,0,1974-06-09 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.9,
-120.8,50.935,,0,,1166658,,,,6,10,1974,,,BC,,,,,0,1974-06-10 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.10,
-120.8,50.935,,0,,1166658,,,,6,11,1974,,,BC,,,,,0,1974-06-11 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.11,
-120.8,50.935,,0,,1166658,,,,6,12,1974,,,BC,,,,,0,1974-06-12 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.12,
-120.8,50.935,,0,,1166658,,,,6,13,1974,,,BC,,,,,0,1974-06-13 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.13,
-120.8,50.935,,0,,1166658,,,,6,14,1974,,,BC,,,,,0,1974-06-14 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.14,
-120.8,50.935,,0,,1166658,,,,6,15,1974,,,BC,,,,,0,1974-06-15 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.15,
-120.8,50.935,,0,,1166658,,,,6,16,1974,,,BC,,,,,0,1974-06-16 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.16,
-120.8,50.935,,0,,1166658,,,,6,17,1974,,,BC,,,,,0,1974-06-17 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.17,
-120.8,50.935,,0,,1166658,,,,6,18,1974,,,BC,,,,,0,1974-06-18 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.18,
-120.8,50.935,,0,,1166658,,,,6,19,1974,,,BC,,,,,0,1974-06-19 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.19,
-120.8,50.935,,0,,1166658,,,,6,20,1974,,,BC,,,,,0,1974-06-20 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.20,
-120.8,50.935,,0,,1166658,,,,6,21,1974,,,BC,,,,,0,1974-06-21 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.21,
-120.8,50.935,,0,,1166658,,,,6,22,1974,,,BC,,,,,0,1974-06-22 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.22,
-120.8,50.935,,0,,1166658,,,,6,23,1974,,,BC,,,,,0,1974-06-23 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.23,
-120.8,50.935,,0,,1166658,,,,6,24,1974,,,BC,,,,,0,1974-06-24 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.24,
-120.8,50.935,,2.5,,1166658,,,,6,25,1974,,,BC,,,,,0,1974-06-25 00:00:00,,,2.5,,,,,,RED LAKE,,,,,1166658.1974.6.25,
-120.8,50.935,,0.8,,1166658,,,,6,26,1974,,,BC,,,,,0,1974-06-26 00:00:00,,,0.8,,,,,,RED LAKE,,,,,1166658.1974.6.26,
-120.8,50.935,,0,,1166658,,,,6,27,1974,,,BC,,,,,0,1974-06-27 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.27,
-120.8,50.935,,0,,1166658,,,,6,28,1974,,,BC,,,,,0,1974-06-28 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.28,
-120.8,50.935,,0,,1166658,,,,6,29,1974,,,BC,,,,,0,1974-06-29 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.6.29,
-120.8,50.935,,1,,1166658,,,,6,30,1974,,,BC,,,,,0,1974-06-30 00:00:00,,,1,,,,,,RED LAKE,,,,,1166658.1974.6.30,
-120.8,50.935,,0,,1166658,,,,7,1,1974,,,BC,,,,,0,1974-07-01 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.1,
-120.8,50.935,,0,,1166658,,,,7,2,1974,,,BC,,,,,0,1974-07-02 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.2,
-120.8,50.935,,0,T,1166658,,,,7,3,1974,,,BC,,,,,0,1974-07-03 00:00:00,,,0,,,,,,RED LAKE,,,,T,1166658.1974.7.3,
-120.8,50.935,,0,T,1166658,,,,7,4,1974,,,BC,,,,,0,1974-07-04 00:00:00,,,0,,,,,,RED LAKE,,,,T,1166658.1974.7.4,
-120.8,50.935,,0,,1166658,,,,7,5,1974,,,BC,,,,,0,1974-07-05 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.5,
-120.8,50.935,,0,,1166658,,,,7,6,1974,,,BC,,,,,0,1974-07-06 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.6,
-120.8,50.935,,13.2,,1166658,,,,7,7,1974,,,BC,,,,,0,1974-07-07 00:00:00,,,13.2,,,,,,RED LAKE,,,,,1166658.1974.7.7,
-120.8,50.935,,4.8,,1166658,,,,7,8,1974,,,BC,,,,,0,1974-07-08 00:00:00,,,4.8,,,,,,RED LAKE,,,,,1166658.1974.7.8,
-120.8,50.935,,9.1,,1166658,,,,7,9,1974,,,BC,,,,,0,1974-07-09 00:00:00,,,9.1,,,,,,RED LAKE,,,,,1166658.1974.7.9,
-120.8,50.935,,6.9,,1166658,,,,7,10,1974,,,BC,,,,,0,1974-07-10 00:00:00,,,6.9,,,,,,RED LAKE,,,,,1166658.1974.7.10,
-120.8,50.935,,0,,1166658,,,,7,11,1974,,,BC,,,,,0,1974-07-11 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.11,
-120.8,50.935,,0,,1166658,,,,7,12,1974,,,BC,,,,,0,1974-07-12 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.12,
-120.8,50.935,,0,,1166658,,,,7,13,1974,,,BC,,,,,0,1974-07-13 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.13,
-120.8,50.935,,0,,1166658,,,,7,14,1974,,,BC,,,,,0,1974-07-14 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.14,
-120.8,50.935,,2.3,,1166658,,,,7,15,1974,,,BC,,,,,0,1974-07-15 00:00:00,,,2.3,,,,,,RED LAKE,,,,,1166658.1974.7.15,
-120.8,50.935,,6.6,,1166658,,,,7,16,1974,,,BC,,,,,0,1974-07-16 00:00:00,,,6.6,,,,,,RED LAKE,,,,,1166658.1974.7.16,
-120.8,50.935,,0,T,1166658,,,,7,17,1974,,,BC,,,,,0,1974-07-17 00:00:00,,,0,,,,,,RED LAKE,,,,T,1166658.1974.7.17,
-120.8,50.935,,0,,1166658,,,,7,18,1974,,,BC,,,,,0,1974-07-18 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.18,
-120.8,50.935,,0,,1166658,,,,7,19,1974,,,BC,,,,,0,1974-07-19 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.19,
-120.8,50.935,,0,,1166658,,,,7,20,1974,,,BC,,,,,0,1974-07-20 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.20,
-120.8,50.935,,0,,1166658,,,,7,21,1974,,,BC,,,,,0,1974-07-21 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.21,
-120.8,50.935,,0,,1166658,,,,7,22,1974,,,BC,,,,,0,1974-07-22 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.22,
-120.8,50.935,,0,,1166658,,,,7,23,1974,,,BC,,,,,0,1974-07-23 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.23,
-120.8,50.935,,0,,1166658,,,,7,24,1974,,,BC,,,,,0,1974-07-24 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.24,
-120.8,50.935,,0,,1166658,,,,7,25,1974,,,BC,,,,,0,1974-07-25 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.25,
-120.8,50.935,,0,,1166658,,,,7,26,1974,,,BC,,,,,0,1974-07-26 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.26,
-120.8,50.935,,0,,1166658,,,,7,27,1974,,,BC,,,,,0,1974-07-27 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.27,
-120.8,50.935,,0,,1166658,,,,7,28,1974,,,BC,,,,,0,1974-07-28 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.28,
-120.8,50.935,,0,,1166658,,,,7,29,1974,,,BC,,,,,0,1974-07-29 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.29,
-120.8,50.935,,0,,1166658,,,,7,30,1974,,,BC,,,,,0,1974-07-30 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.30,
-120.8,50.935,,0,,1166658,,,,7,31,1974,,,BC,,,,,0,1974-07-31 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.7.31,
-120.8,50.935,,0,,1166658,,,,8,1,1974,,,BC,,,,,0,1974-08-01 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.1,
-120.8,50.935,,0,,1166658,,,,8,2,1974,,,BC,,,,,0,1974-08-02 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.2,
-120.8,50.935,,0,,1166658,,,,8,3,1974,,,BC,,,,,0,1974-08-03 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.3,
-120.8,50.935,,0,,1166658,,,,8,4,1974,,,BC,,,,,0,1974-08-04 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.4,
-120.8,50.935,,0,,1166658,,,,8,5,1974,,,BC,,,,,0,1974-08-05 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.5,
-120.8,50.935,,0,,1166658,,,,8,6,1974,,,BC,,,,,0,1974-08-06 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.6,
-120.8,50.935,,0,,1166658,,,,8,7,1974,,,BC,,,,,0,1974-08-07 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.7,
-120.8,50.935,,0,,1166658,,,,8,8,1974,,,BC,,,,,0,1974-08-08 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.8,
-120.8,50.935,,0,,1166658,,,,8,9,1974,,,BC,,,,,0,1974-08-09 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.9,
-120.8,50.935,,0,,1166658,,,,8,10,1974,,,BC,,,,,0,1974-08-10 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.10,
-120.8,50.935,,0.8,,1166658,,,,8,11,1974,,,BC,,,,,0,1974-08-11 00:00:00,,,0.8,,,,,,RED LAKE,,,,,1166658.1974.8.11,
-120.8,50.935,,10.4,,1166658,,,,8,12,1974,,,BC,,,,,0,1974-08-12 00:00:00,,,10.4,,,,,,RED LAKE,,,,,1166658.1974.8.12,
-120.8,50.935,,0,,1166658,,,,8,13,1974,,,BC,,,,,0,1974-08-13 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.13,
-120.8,50.935,,0,,1166658,,,,8,14,1974,,,BC,,,,,0,1974-08-14 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.14,
-120.8,50.935,,0,,1166658,,,,8,15,1974,,,BC,,,,,0,1974-08-15 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.15,
-120.8,50.935,,0,,1166658,,,,8,16,1974,,,BC,,,,,0,1974-08-16 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.16,
-120.8,50.935,,0,,1166658,,,,8,17,1974,,,BC,,,,,0,1974-08-17 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.17,
-120.8,50.935,,0,,1166658,,,,8,18,1974,,,BC,,,,,0,1974-08-18 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.18,
-120.8,50.935,,0,,1166658,,,,8,19,1974,,,BC,,,,,0,1974-08-19 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.19,
-120.8,50.935,,0,,1166658,,,,8,20,1974,,,BC,,,,,0,1974-08-20 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.20,
-120.8,50.935,,0,,1166658,,,,8,21,1974,,,BC,,,,,0,1974-08-21 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.21,
-120.8,50.935,,0,,1166658,,,,8,22,1974,,,BC,,,,,0,1974-08-22 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.22,
-120.8,50.935,,0,,1166658,,,,8,23,1974,,,BC,,,,,0,1974-08-23 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.23,
-120.8,50.935,,2,,1166658,,,,8,24,1974,,,BC,,,,,0,1974-08-24 00:00:00,,,2,,,,,,RED LAKE,,,,,1166658.1974.8.24,
-120.8,50.935,,0,,1166658,,,,8,25,1974,,,BC,,,,,0,1974-08-25 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.25,
-120.8,50.935,,0,,1166658,,,,8,26,1974,,,BC,,,,,0,1974-08-26 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.26,
-120.8,50.935,,0,,1166658,,,,8,27,1974,,,BC,,,,,0,1974-08-27 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.27,
-120.8,50.935,,0,,1166658,,,,8,28,1974,,,BC,,,,,0,1974-08-28 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.28,
-120.8,50.935,,0,,1166658,,,,8,29,1974,,,BC,,,,,0,1974-08-29 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.29,
-120.8,50.935,,0,,1166658,,,,8,30,1974,,,BC,,,,,0,1974-08-30 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.30,
-120.8,50.935,,0,,1166658,,,,8,31,1974,,,BC,,,,,0,1974-08-31 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.8.31,
-120.8,50.935,,0,,1166658,,,,9,1,1974,,,BC,,,,,0,1974-09-01 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.1,
-120.8,50.935,,0,,1166658,,,,9,2,1974,,,BC,,,,,0,1974-09-02 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.2,
-120.8,50.935,,0,,1166658,,,,9,3,1974,,,BC,,,,,0,1974-09-03 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.3,
-120.8,50.935,,8.9,,1166658,,,,9,4,1974,,,BC,,,,,0,1974-09-04 00:00:00,,,8.9,,,,,,RED LAKE,,,,,1166658.1974.9.4,
-120.8,50.935,,0,,1166658,,,,9,5,1974,,,BC,,,,,0,1974-09-05 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.5,
-120.8,50.935,,0.3,,1166658,,,,9,6,1974,,,BC,,,,,0,1974-09-06 00:00:00,,,0.3,,,,,,RED LAKE,,,,,1166658.1974.9.6,
-120.8,50.935,,1.5,,1166658,,,,9,7,1974,,,BC,,,,,0,1974-09-07 00:00:00,,,1.5,,,,,,RED LAKE,,,,,1166658.1974.9.7,
-120.8,50.935,,5.8,,1166658,,,,9,8,1974,,,BC,,,,,0,1974-09-08 00:00:00,,,5.8,,,,,,RED LAKE,,,,,1166658.1974.9.8,
-120.8,50.935,,0.8,,1166658,,,,9,9,1974,,,BC,,,,,0,1974-09-09 00:00:00,,,0.8,,,,,,RED LAKE,,,,,1166658.1974.9.9,
-120.8,50.935,,1.3,,1166658,,,,9,10,1974,,,BC,,,,,0,1974-09-10 00:00:00,,,1.3,,,,,,RED LAKE,,,,,1166658.1974.9.10,
-120.8,50.935,,0,,1166658,,,,9,11,1974,,,BC,,,,,0,1974-09-11 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.11,
-120.8,50.935,,0,,1166658,,,,9,12,1974,,,BC,,,,,0,1974-09-12 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.12,
-120.8,50.935,,0,,1166658,,,,9,13,1974,,,BC,,,,,0,1974-09-13 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.13,
-120.8,50.935,,0,,1166658,,,,9,14,1974,,,BC,,,,,0,1974-09-14 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.14,
-120.8,50.935,,0,,1166658,,,,9,15,1974,,,BC,,,,,0,1974-09-15 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.15,
-120.8,50.935,,0,,1166658,,,,9,16,1974,,,BC,,,,,0,1974-09-16 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.16,
-120.8,50.935,,0,,1166658,,,,9,17,1974,,,BC,,,,,0,1974-09-17 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.17,
-120.8,50.935,,0,,1166658,,,,9,18,1974,,,BC,,,,,0,1974-09-18 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.18,
-120.8,50.935,,0,,1166658,,,,9,19,1974,,,BC,,,,,0,1974-09-19 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.19,
-120.8,50.935,,0,,1166658,,,,9,20,1974,,,BC,,,,,0,1974-09-20 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.20,
-120.8,50.935,,0,,1166658,,,,9,21,1974,,,BC,,,,,0,1974-09-21 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.21,
-120.8,50.935,,0,,1166658,,,,9,22,1974,,,BC,,,,,0,1974-09-22 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.22,
-120.8,50.935,,0,,1166658,,,,9,23,1974,,,BC,,,,,0,1974-09-23 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.23,
-120.8,50.935,,0,,1166658,,,,9,24,1974,,,BC,,,,,0,1974-09-24 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.24,
-120.8,50.935,,0,,1166658,,,,9,25,1974,,,BC,,,,,0,1974-09-25 00:00:00,,,0,,,,,,RED LAKE,,,,,1166658.1974.9.25,
