x,y,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,TOTAL_RAIN,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION,MAX_TEMPERATURE,LOCAL_DATE,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,ID,STATION_NAME,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST,SPEED_MAX_GUST,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,LOCAL_YEAR,DIRECTION_MAX_GUST_FLAG,MAX_REL_HUMIDITY
-120.8,50.935,12,,1166658,-4,,,0,BC,,,0,1.8,2011-12-27 00:00:00,,-1.1,,19,1166658.2011.12.27,RED LAKE,,0,,,,,27,,,,0,19.1,2011,,
-120.8,50.935,12,,1166658,-2,,,0,BC,,,0,7,2011-12-28 00:00:00,,2.5,,17,1166658.2011.12.28,RED LAKE,,0,,,,,28,,,,0,15.5,2011,,
-120.8,50.935,12,,1166658,-4.5,,,0,BC,,,1,1.5,2011-12-29 00:00:00,,-1.5,,16,1166658.2011.12.29,RED LAKE,,1,,,,,29,,,,0,19.5,2011,,
-120.8,50.935,12,,1166658,-4,,,0,BC,,,3,2.5,2011-12-30 00:00:00,,-0.8,,16,1166658.2011.12.30,RED LAKE,,3,,,,,30,,,,0,18.8,2011,,
-120.8,50.935,12,,1166658,-10,,,0,BC,,,0,-3.5,2011-12-31 00:00:00,,-6.8,,18,1166658.2011.12.31,RED LAKE,,0,,,,,31,,,,0,24.8,2011,,
-120.8,50.935,1,,1166658,-9.5,,,0,BC,,,0,0,2012-01-01 00:00:00,,-4.8,,18,1166658.2012.1.1,RED LAKE,,0,,,,,1,,,,0,22.8,2012,,
-120.8,50.935,1,,1166658,-4,,,0,BC,,,0,2,2012-01-02 00:00:00,,-1,,16,1166658.2012.1.2,RED LAKE,,0,,,,,2,,,,0,19,2012,,
-120.8,50.935,1,,1166658,-1.5,,,0,BC,,,0,4,2012-01-03 00:00:00,,1.3,,10,1166658.2012.1.3,RED LAKE,,0,,,,,3,,,,0,16.7,2012,,
-120.8,50.935,1,,1166658,0,,,0,BC,,,0,5,2012-01-04 00:00:00,,2.5,,9,1166658.2012.1.4,RED LAKE,,0,,,,,4,,,,0,15.5,2012,,
-120.8,50.935,1,,1166658,-3.5,,,0,BC,,,0,3,2012-01-05 00:00:00,,-0.3,,9,1166658.2012.1.5,RED LAKE,,0,,,,,5,,,,0,18.3,2012,,
-120.8,50.935,1,,1166658,-6.5,,,0,BC,,,1.5,-2,2012-01-06 00:00:00,,-4.3,,8,1166658.2012.1.6,RED LAKE,,1.5,,,,,6,,,,0,22.3,2012,,
-120.8,50.935,1,,1166658,-6.5,,,0,BC,,,5,1.2,2012-01-07 00:00:00,,-2.7,,6,1166658.2012.1.7,RED LAKE,,5,,,,,7,,,,0,20.7,2012,,
-120.8,50.935,1,,1166658,-3.5,,,0,BC,,,0,2,2012-01-08 00:00:00,,-0.8,,10,1166658.2012.1.8,RED LAKE,,0,,,,,8,,,,0,18.8,2012,,
-120.8,50.935,1,,1166658,-1.2,,,0,BC,,,1.5,7,2012-01-09 00:00:00,,2.9,,8,1166658.2012.1.9,RED LAKE,,1.5,,,,,9,,,,0,15.1,2012,,
-120.8,50.935,1,,1166658,-10,,,0,BC,,,0,-4.5,2012-01-10 00:00:00,,-7.3,,8,1166658.2012.1.10,RED LAKE,,0,,,,,10,,,,0,25.3,2012,,
-120.8,50.935,1,,1166658,-16.5,,,0,BC,,,0,-5,2012-01-11 00:00:00,,-10.8,,0,1166658.2012.1.11,RED LAKE,,0,,,,,11,,,,0,28.8,2012,,
-120.8,50.935,1,,1166658,-13,,,0,BC,,,0,-9.5,2012-01-12 00:00:00,,-11.3,,0,1166658.2012.1.12,RED LAKE,,0,,,,,12,,,,0,29.3,2012,,
-120.8,50.935,1,,1166658,-11,,,0,BC,,,0,-6.5,2012-01-13 00:00:00,,-8.8,,0,1166658.2012.1.13,RED LAKE,,0,,,,,13,,,,0,26.8,2012,,
