x,y,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,LOCAL_YEAR,MIN_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY_FLAG,LOCAL_DAY,STATION_NAME,DIRECTION_MAX_GUST,MIN_TEMPERATURE,SPEED_MAX_GUST_FLAG,ID,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,TOTAL_SNOW,TOTAL_PRECIPITATION,SNOW_ON_GROUND,PROVINCE_CODE,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,TOTAL_RAIN
-127.18277777777777,54.82472222222222,,5.3,12.7,,,0,,,6,1997,M,17.5,,,1077500,M,21,SMITHERS A,0,7.9,,1077500.1997.6.21,,,1997-06-21 00:00:00,0,4,0,BC,,,,0,4
-127.18277777777777,54.82472222222222,,0.9,17.1,,,0,,,6,1997,M,23.5,,,1077500,M,22,SMITHERS A,0,10.6,,1077500.1997.6.22,,,1997-06-22 00:00:00,0,0.4,0,BC,,,,0,0.4
-127.18277777777777,54.82472222222222,,0,18.4,,,0.4,,,6,1997,M,25.8,,,1077500,M,23,SMITHERS A,0,11,,1077500.1997.6.23,,,1997-06-23 00:00:00,0,0.8,0,BC,,,,0,0.8
-127.18277777777777,54.82472222222222,,2.5,15.5,,,0,,,6,1997,M,22.2,,,1077500,M,24,SMITHERS A,0,8.7,,1077500.1997.6.24,,,1997-06-24 00:00:00,0,0,0,BC,,,,0,0
-127.18277777777777,54.82472222222222,,3.3,14.7,,,0,,,6,1997,M,20.4,,,1077500,M,25,SMITHERS A,18,8.9,E,1077500.1997.6.25,,,1997-06-25 00:00:00,0,9.2,0,BC,,,E,37,9.2
-127.18277777777777,54.82472222222222,,5.7,12.3,,,0,,,6,1997,M,15.6,,,1077500,M,26,SMITHERS A,0,9,,1077500.1997.6.26,,,1997-06-26 00:00:00,0,15.8,0,BC,,,,0,15.8
-127.18277777777777,54.82472222222222,,7.1,10.9,,,0,,,6,1997,M,13.5,,,1077500,M,27,SMITHERS A,0,8.2,,1077500.1997.6.27,,,1997-06-27 00:00:00,0,8,0,BC,,,,0,8
-127.18277777777777,54.82472222222222,,2.6,15.4,,,0,,,6,1997,M,21.3,,,1077500,M,28,SMITHERS A,0,9.4,,1077500.1997.6.28,,,1997-06-28 00:00:00,0,0,0,BC,,,,0,0
-127.18277777777777,54.82472222222222,,1.7,16.3,,,0,,,6,1997,M,21.9,,,1077500,M,29,SMITHERS A,31,10.6,E,1077500.1997.6.29,,,1997-06-29 00:00:00,0,2.4,0,BC,,,E,37,2.4
-127.18277777777777,54.82472222222222,,4,14,,,0,,,6,1997,M,20.1,,,1077500,M,30,SMITHERS A,0,7.8,,1077500.1997.6.30,,,1997-06-30 00:00:00,0,4.2,0,BC,,,,0,4.2
