x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,STATION_NAME,MEAN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_SNOW_FLAG,LOCAL_YEAR,LOCAL_DATE,ID,MAX_TEMPERATURE_FLAG,LOCAL_DAY,SPEED_MAX_GUST,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_RAIN_FLAG,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE
-122.94722222222222,50.06777777777778,BC,1108906,,,223,,,WHISTLER ROUNDHOUSE,-1.8,,,,1,,,,1997,1997-01-17 00:00:00,1108906.1997.1.17,,17,,,11,19.8,,,,11,0,,-1,0,-2.5
-122.94722222222222,50.06777777777778,BC,1108906,,,228,,,WHISTLER ROUNDHOUSE,-3,,,,1,,,,1997,1997-01-18 00:00:00,1108906.1997.1.18,,18,,,28,21,,,,28,0,,0,0,-6
-122.94722222222222,50.06777777777778,BC,1108906,,,248,,,WHISTLER ROUNDHOUSE,-1,,,,1,,,,1997,1997-01-19 00:00:00,1108906.1997.1.19,,19,,,15,19,,,,15,0,,0,0,-2
-122.94722222222222,50.06777777777778,BC,1108906,,,248,,,WHISTLER ROUNDHOUSE,-3,,,,1,,,,1997,1997-01-20 00:00:00,1108906.1997.1.20,,20,,,2,21,,,,2,0,,-2,0,-4
-122.94722222222222,50.06777777777778,BC,1108906,,,240,,,WHISTLER ROUNDHOUSE,-5.8,,,,1,,,,1997,1997-01-21 00:00:00,1108906.1997.1.21,,21,,,7,23.8,,,,7,0,,-3.5,0,-8
-122.94722222222222,50.06777777777778,BC,1108906,,,238,,,WHISTLER ROUNDHOUSE,-6.8,,,,1,,,,1997,1997-01-22 00:00:00,1108906.1997.1.22,,22,,,8,24.8,,,,8,0,,-6,0,-7.5
-122.94722222222222,50.06777777777778,BC,1108906,,,240,,,WHISTLER ROUNDHOUSE,-9.5,,,,1,,,,1997,1997-01-23 00:00:00,1108906.1997.1.23,,23,,,11,27.5,,,,11,0,,-8.5,0,-10.5
-122.94722222222222,50.06777777777778,BC,1108906,,,241,,,WHISTLER ROUNDHOUSE,-13.3,,,,1,,,,1997,1997-01-24 00:00:00,1108906.1997.1.24,,24,,,1,31.3,,,,1,0,,-11.5,0,-15
-122.94722222222222,50.06777777777778,BC,1108906,,,238,,,WHISTLER ROUNDHOUSE,-17.5,,,,1,,,,1997,1997-01-25 00:00:00,1108906.1997.1.25,,25,,,0,35.5,,,,0,0,,-12,0,-23
-122.94722222222222,50.06777777777778,BC,1108906,,,236,,,WHISTLER ROUNDHOUSE,-12.5,,,,1,,,,1997,1997-01-26 00:00:00,1108906.1997.1.26,,26,,,0,30.5,,,,0,0,,-3,0,-22
-122.94722222222222,50.06777777777778,BC,1108906,,,234,,,WHISTLER ROUNDHOUSE,-5.5,,,,1,,,,1997,1997-01-27 00:00:00,1108906.1997.1.27,,27,,,9,23.5,,,,9,0,,-2,0,-9
-122.94722222222222,50.06777777777778,BC,1108906,,,241,,,WHISTLER ROUNDHOUSE,-3.5,,,,1,,,,1997,1997-01-28 00:00:00,1108906.1997.1.28,,28,,,4,21.5,,,,4,0,,0,0,-7
