x,y,MAX_TEMPERATURE_FLAG,LOCAL_MONTH,MIN_TEMPERATURE,PROVINCE_CODE,DIRECTION_MAX_GUST,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN,MAX_REL_HUMIDITY,TOTAL_RAIN_FLAG,LOCAL_DATE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,STATION_NAME,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,TOTAL_SNOW_FLAG,ID,SNOW_ON_GROUND,MEAN_TEMPERATURE,SPEED_MAX_GUST,SNOW_ON_GROUND_FLAG,LOCAL_DAY
-116.34455555555556,51.44288888888889,,9,4.3,BC,25,,0,2021,,11790J1,,,89,,2021-09-08 00:00:00,19.7,0,YOHO PARK,,,,6,,,,,45,,11790J1.2021.9.8,0,12,41,,8
-116.34455555555556,51.44288888888889,,9,7.3,BC,23,,0,2021,,11790J1,,,92,,2021-09-09 00:00:00,20.8,0,YOHO PARK,,,,3.9,,,,,33,,11790J1.2021.9.9,0,14.1,39,,9
-116.34455555555556,51.44288888888889,,9,5.9,BC,26,,0,2021,,11790J1,,,97,,2021-09-10 00:00:00,22.1,6,YOHO PARK,,,,4,,,,,36,,11790J1.2021.9.10,0,14,49,,10
-116.34455555555556,51.44288888888889,,9,8.3,BC,26,,0,2021,,11790J1,,,96,,2021-09-11 00:00:00,20.6,1.6,YOHO PARK,,,,3.6,,,,,45,,11790J1.2021.9.11,1,14.4,36,,11
-116.34455555555556,51.44288888888889,,9,5.2,BC,23,,0,2021,,11790J1,,,97,,2021-09-12 00:00:00,11.6,19.6,YOHO PARK,,,,9.6,,,,,89,,11790J1.2021.9.12,1,8.4,42,,12
-116.34455555555556,51.44288888888889,,9,2.4,BC,25,,0,2021,,11790J1,,,98,,2021-09-13 00:00:00,13.6,0.2,YOHO PARK,,,,10,,,,,44,,11790J1.2021.9.13,0,8,36,,13
-116.34455555555556,51.44288888888889,,9,-1.2,BC,26,,0,2021,,11790J1,,,95,,2021-09-14 00:00:00,15.9,0,YOHO PARK,,,,10.7,,,,,39,,11790J1.2021.9.14,0,7.3,47,,14
-116.34455555555556,51.44288888888889,,9,-0.1,BC,28,,0,2021,,11790J1,,,97,,2021-09-15 00:00:00,9.3,6.5,YOHO PARK,,,,13.4,,,,,48,,11790J1.2021.9.15,0,4.6,58,,15
-116.34455555555556,51.44288888888889,,9,-1.8,BC,26,,0,2021,,11790J1,,,90,,2021-09-16 00:00:00,10,0,YOHO PARK,,,,13.9,,,,,39,,11790J1.2021.9.16,0,4.1,35,,16
-116.34455555555556,51.44288888888889,,9,-3.1,BC,26,,0,2021,,11790J1,,,97,,2021-09-17 00:00:00,6.3,8.3,YOHO PARK,,,,16.4,,,,,57,,11790J1.2021.9.17,0,1.6,44,,17
-116.34455555555556,51.44288888888889,,9,1.5,BC,25,,0,2021,,11790J1,,,99,,2021-09-18 00:00:00,8.8,30.5,YOHO PARK,,,,12.9,,,,,93,,11790J1.2021.9.18,0,5.1,46,,18
